X,Y,Distancia,Angulo
23,51,159.76232346833217,-124.28687697720898
24,106,117.6860229593982,-139.13467137373644
25,78,137.0,-129.96621304379997
35,94,118.3427226321923,-131.23147029086462
40,182,73.00684899377592,-179.2151753970081
73,40,148.48905683584903,-105.62738373912106
116,199,16.278820596099706,79.38034472384487
119,102,81.2219182240853,-85.76360520094116
130,170,21.400934559032695,-37.40535663140856
139,69,116.92732785794773,-77.15229514128234
147,95,94.33981132056604,-68.87528085392752
159,124,74.81310045707235,-52.05784664988108
177,144,74.94664769020693,-31.35708522400993
191,113,104.80458005259122,-41.90594194108289
193,163,82.46211251235322,-14.036243467926479
221,166,109.32977636490436,-8.94538183353896
249,182,136.0036764208968,-0.4212849041685975
282,154,171.47011401407536,-9.736988270402748
287,120,185.05404615949362,-19.90374953730784
294,53,222.84748147555987,-35.687118714215615
307,151,196.6214637317096,-9.366509957012122
308,31,247.24279564832622,-37.935958207199555
316,201,203.79646709401024,5.0671617258531985
319,34,254.23807739990482,-35.87825225980434
58,42,151.34728276384746,-111.30931059717261
69,141,60.8276253029822,-136.33221985386965
70,126,71.40028011149536,-127.03038960567865
96,26,157.91770008456936,-96.17992424918312
99,99,85.15867542417507,-99.46232220802563
105,48,135.2368293032634,-93.39133941979635
121,100,83.38465086573187,-84.49452214202165
131,96,88.84255736976509,-78.3106308245608
131,98,86.88498144098322,-78.04341575685088
133,149,39.44616584663204,-59.53445508054013
134,98,87.55569655939013,-76.122470196792
136,113,73.68174807915459,-71.81095430034868
136,98,88.05679985100527,-74.8590161649231
145,54,132.90974381135493,-76.06831075819701
157,77,114.76933388322858,-67.45693899994212
173,72,126.17844506887855,-61.606980578617005
178,83,119.26860441876563,-56.97613244420336
181,82,121.75795661885921,-56.048905671654744
182,84,120.6731121667126,-55.12467165539782
181,94,112.0044641967453,-52.61854648756894
187,121,96.54014708917737,-39.95754893082909
190,136,90.21086409075129,-31.39945748334126
192,105,111.01801655587259,-44.63506366426936
194,47,158.2940302096071,-59.22246961446552
194,130,96.79876032264049,-33.19756579221645
194,128,97.9081201943945,-34.1769887737929
195,102,115.26057435220423,-44.648496560126645
196,130,98.47842403288143,-32.56043798115345
198,107,114.02192771568107,-41.80046029043743
198,114,109.48059188732951,-39.068473075080234
201,113,112.44554237496477,-38.50065372034543
204,165,92.76313923105448,-11.188799928251802
211,124,114.38968484964018,-31.049657186622614
212,114,120.6731121667126,-34.87532834460218
219,144,112.94689017409908,-20.199806621434103
228,151,119.36917525056458,-15.54980416970159
230,148,122.12288892750614,-16.65430637692333
230,151,121.29715577869086,-15.296547314430068
232,171,119.60351165413162,-5.75826016436676
246,176,133.18408313308313,-3.0127875041833403
253,90,168.07438829280326,-33.59552012085298
256,189,143.1258187749506,2.402609468986042
256,183,143.0,0.0
258,163,146.37281168304446,-7.853313301978219
258,177,145.1240848377691,-2.3695080642552884
257,179,144.05554484295286,-1.5911402711945872
260,124,158.39823231336896,-21.868579185372536
267,197,154.63505424062166,5.194428907734806
272,145,163.47782724271815,-13.441204837098619
315,92,221.55134844996994,-24.251328679253774
318,60,239.06902768865731,-30.96375653207352
